id,performed_move_id,t1_millis,t2_millis,t3_millis,question_one,question_two,question_three,session_id
282,14195,1664933586147,1664933592102,1664933618481,0,1,0,11120
281,14194,1664933545887,1664933553807,1664933563957,0,0,1,11120
280,14193,1664933472214,1664933492095,1664933522269,0,1,2,11120
279,14192,1664933433980,1664933438551,1664933446512,1,1,1,11120
278,14192,1664933399882,1664933411462,1664933426389,1,1,1,11120
277,14190,1664933363538,1664933374803,1664933381452,0,0,0,11120
276,14189,1664933329548,1664933339016,1664933348534,1,1,1,11120
275,14188,1664933289456,1664933299177,1664933307836,1,1,1,11120
274,14187,1664933258720,1664933263295,1664933269480,0,1,0,11120
273,14186,1664933232863,1664933245288,1664933251603,0,0,0,11120
272,14185,1664933178478,1664933194762,1664933218279,0,0,1,11120
271,14184,1664933130362,1664933145222,1664933152874,1,2,1,11120
270,14183,1664933094681,1664933105967,1664933113800,1,1,1,11120
269,14182,1664933039537,1664933053978,1664933083720,1,0,1,11120
268,14181,1664933006519,1664933012644,1664933025073,0,0,0,11120
267,14180,1664932959862,1664932974656,1664932992345,0,0,1,11120
266,14179,1664932928218,1664932940745,1664932948069,0,1,2,11120
265,14178,1664932904107,1664932909772,1664932915795,1,1,2,11120
264,14178,1664932846492,1664932861610,1664932894262,2,2,2,11120
263,14177,1664932795092,1664932807567,1664932833827,1,1,2,11120
262,14176,1664932745056,1664932758864,1664932777898,1,1,2,11120
338,14252,1664939076681,1664939102402,1664939145790,1,1,1,11126
337,14251,1664939016819,1664939030202,1664939061605,1,1,1,11126
336,14250,1664938957257,1664938978034,1664938993557,2,2,2,11126
335,14249,1664938900494,1664938913711,1664938937786,2,2,2,11126
334,14248,1664938859164,1664938868364,1664938883969,2,2,2,11126
333,14247,1664938797342,1664938807544,1664938833875,2,2,2,11126
332,14246,1664938761091,1664938765662,1664938774402,1,1,1,11126
331,14245,1664938717808,1664938733840,1664938752881,2,2,2,11126
330,14244,1664938660316,1664938679525,1664938700219,0,0,0,11126
329,14243,1664938633389,1664938644521,1664938651985,0,0,0,11126
328,14242,1664938603656,1664938608228,1664938615448,1,1,1,11126
327,14241,1664938569623,1664938580107,1664938595262,2,2,2,11126
326,14240,1664938475411,1664938491883,1664938543246,2,1,1,11126
325,14239,1664938396420,1664938408758,1664938454091,0,0,2,11126
324,14238,1664938356524,1664938361122,1664938369443,1,1,1,11126
323,14237,1664938300093,1664938313311,1664938347051,2,2,2,11126
322,14236,1664938265971,1664938270562,1664938277934,1,1,1,11126
321,14235,1664938195887,1664938224846,1664938257923,2,2,2,11126
320,14234,1664938136988,1664938154822,1664938173006,2,2,2,11126
319,14233,1664938062042,1664938070627,1664938111869,1,0,0,11126
318,14232,1664938024573,1664938029144,1664938036119,1,1,1,11126
317,14232,1664937990844,1664938000717,1664938012574,2,2,2,11126
316,14230,1664937938235,1664937951332,1664937968942,1,1,1,11126
315,14229,1664937861141,1664937875744,1664937921395,0,0,2,11126
314,14228,1664937789001,1664937805109,1664937842808,2,2,2,11126
313,14227,1664937751500,1664937756078,1664937771484,1,1,1,11126
312,14226,1664937716661,1664937720572,1664937746195,0,0,0,11126
311,14226,1664937641248,1664937651008,1664937699025,1,2,2,11126
